dapp,block,addresses
2023-01-SHOCO, 16440978, 0x806b6C6819b1f62Ca4B66658b669f0A98e385D18;0x31A4F372AA891B46bA44dC64Be1d8947c889E9c6;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
2023-01-Upswing, 16433820, 0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D;0x0e823a8569CF12C1e7C216d3B8aef64A7fC5FB34;0x35a254223960c18B69C0526c46B013D022E93902;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
2023-02-CowSwap, 16574048, 0x6B175474E89094C44Da98b954EedeAC495271d0F;0xcD07a7695E3372aCD2B2077557DE93e667B92bd8;0x9008D19f58AAbD9eD0D60971565AA8510560ab41
2023-02-Dexible, 16646022, 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;0x4C19596f5aAfF459fA38B0f7eD92F11AE6543784;0xDE62E1b0edAa55aAc5ffBE21984D321706418024;0x58f5F0684C381fCFC203D77B2BbA468eBb29B098
2023-02-EFVault, 16696239, 0xBDB515028A6fA6CD1634B5A9651184494aBfD336;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
2023-02-RevertFinance, 16653389, 0x531110418d8591C92e9cBBFC722Db8FFb604FAFD;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
2023-03-Euler, 16817995, 0x6B175474E89094C44Da98b954EedeAC495271d0F;0xe025E3ca2bE02316033184551D4d3Aa22024D9DC;0x6085Bc95F506c326DCBCD7A6dd6c79FBc18d4686;0xf43ce1d09050BAfd6980dD43Cde2aB9F18C85b34;0x27182842E098f60e3D576794A5bFFb0777E025d3
2023-04-silo_finance, 17139470, 0xcB3B879aB11F825885d5aDD8Bf3672596d35197C;0xd7C9F0e536dC865Ae858b0C0453Fe76D13c3bEAc;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0x514910771AF9Ca656af840dff83E8264EcF986CA
2023-04-Sushi_Router, 17007841, 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0x514910771AF9Ca656af840dff83E8264EcF986CA;0x31d3243CfB54B34Fc9C73e1CB1137124bD6B13E1;0x044b75f554b886A065b9567891e45c79542d7357
2023-04-Swapos, 17057419, 0x09176F68003c06F190ECdF40890E3324a9589557;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0x8ce2F9286F50FbE2464BFd881FAb8eFFc8Dc584f
2023-05-ERC20TokenBank, 17376906, 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;0xdAC17F958D2ee523a2206206994597C13D831ec7;0x765b8d7Cd8FF304f796f4B6fb1BCf78698333f6D;0x45F783CCE6B7FF23B2ab2D70e416cdb7D6055f51;0x5777d92f208679DB4b9778590Fa3CAB3aC9e2168
2023-05-NOON_exp, 17366979, 0x6fEAc5F3792065b21f85BC118D891b33e0673bD8;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0x421A5671306CB5f66FF580573C1c8D536E266c93;0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D
2023-06-Contract_0x7657, 17511178, 0x76577603F99EAe8320F70B410a350a83D744CB77;0x637b935CbA030Aeb876eae07Aa7FF637166de4D6
2023-06-DEPUSDT_LEVUSDC, 17484161, 0xdAC17F958D2ee523a2206206994597C13D831ec7;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;0x7b190a928Aa76EeCE5Cb3E0f6b3BdB24fcDd9b4f;0x2a2b195558cF89AA617979ce28880BbF7e17bc45
2023-06-MIMSpell, 17521638, 0x5a6A4D54456819380173272A5E8E9B9904BdF41B;0x38EA452219524Bb87e18dE1C24D3bB59510BD783;0x99D8a9C45b2ecA8864373A26D1459e3Dff1e17F3;0xdAC17F958D2ee523a2206206994597C13D831ec7;0xd96f48665a1410C0cd669A88898ecA36B9Fc2cce;0xa5564a2d1190a141CAC438c9fde686aC48a18A79;0x561B94454b65614aE3db0897B74303f4aCf7cc75
2023-06-VINU, 17421006, 0xF7ef0D57277ad6C2baBf87aB64bA61AbDd2590D2;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D;0xa8AF8ac7aCd97095c0d73eD51E30564d52b19cd8;0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5
2023-07-AzukiDAO, 17593308, 0xED5AF388653567Af2F388E6224dC7C4b3241C544;0x8189AFBE7b0e81daE735EF027cd31371b3974FeB;0xB6a37b5d14D502c3Ab0Ae6f3a0E058BC9517786e;0x306b1ea3ecdf94aB739F1910bbda052Ed4A9f949;0x85D231C204B82915c909A05847CCa8557164c75e
2023-07-CIVNFT, 17649875, 0x37fE0f067FA808fFBDd12891C0858532CFE7361d;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0xF169BD68ED72B2fdC3C9234833197171AA000580;0x512e9701D314b365921BcB3b8265658A152C9fFD
2023-07-Curve1, 17806055, 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0x836A808d4828586A69364065A1e064609F5078c7;0x9848482da3Ee3076165ce6497eDA906E66bB85C5;
2023-07-USDTStakingContract28, 17696562, 0x800cfD4A2ba8CE93eA2cc814Fce26c3635169017;0xdAC17F958D2ee523a2206206994597C13D831ec7
2023-08-EarningFram, 17875885, 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640;0x5655c442227371267c165101048E4838a762675d;0xE8688D014194fd5d7acC3c17477fD6db62aDdeE9
2023-08-EHIVE, 17690497, 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0x4Ae2Cd1F5B8806a973953B76f9Ce6d5FAB9cdcfd;0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2;0xAE851769593AC6048D36BC123700649827659A82
2023-09-0x0DEX, 18115707, 0x3d18AD735f949fEbD59BBfcB5864ee0157607616;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D
2023-09-CEXISWAP, 18182605, 0xB8a5890D53dF78dEE6182A6C0968696e827E3305;0xdAC17F958D2ee523a2206206994597C13D831ec7;
2023-09-DAppSocial, 18048982, 0xdAC17F958D2ee523a2206206994597C13D831ec7;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;0x319Ec3AD98CF8b12a8BE5719FeC6E0a9bb1ad0D1
2023-09-HeavensGate, 18069527, 0x7b768470590B8A0d28fC714d0A70754d556D14eD;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0x738dab4AF8D21b7aafb73545D79D3B4831eE79dA;0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D;0x8EBd6c7D2B79CA4Dc5FBdEc239a8Bb0F214212b8;0xf829d7014Db17D6DCe448bE958c7e4983cdb1F77
2023-09-QuantumWN, 18070348, 0xc14F8A4C8272b8466659D0f058895E2F9D3ae065;0x69422c7F237D70FCd55C218568a67d00dc4ea068;0xf5bF1f78EDa7537F9cAb002a8F533e2733DDfBbC;
2023-09-uniclyNFT, 18133171, 0xa499648fD0e80FD911972BbEb069e4c20e68bF22;0xEC5100AD159F660986E47AFa0CDa1081101b471d;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0xd3C41c85bE295607E8EA5c58487eC5894300ee67;0xcDCc535503CBA9286489b338b36156b4b75008f6;0x7AFe30cB3E53dba6801aa0EA647A0EcEA7cBe18d
2023-10-DePayRouter, 18281130, 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc;0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D;0xae60aC8e69414C2Dc362D0e6a03af643d1D85b92;0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f;0xe04b08Dfc6CaA0F4Ec523a3Ae283Ece7efE00019
2023-10-pSeudoEth, 18305131, 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0x62aBdd605E710Cc80a52062a8cC7c5d659dDDbE7;0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D;0x2033B54B6789a963A02BfCbd40A46816770f1161
2023-11-grok, 18538678, 0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D;0xE592427A0AEce92De3Edee1F18E0157C05861564;0x8390a1DA07E376ef7aDd4Be859BA74Fb83aA02D5;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0x109830a1AAaD605BbF02a9dFA7B0B92EC2FB7dAa;0x66bA59cBD09E75B209D1D7E8Cf97f4Ab34DA413B
2023-11-MahaLend, 18544604, 0x8CC0F052fff7eaD7f2EdCCcaC895502E884a8a71;0x76F0C94Ced5B48020bf0D7f3D0CEabC877744cB5;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;0xE6B683868D1C168Da88cfe5081E34d9D80E4D1a6;0x658b0f629B9e3753AA555C189D0cB19C1eD59632
2023-11-MetaLend, 18648753, 0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599;0x0ee4b2C533ED3fFbd9f04CD7E812A4041bbE89f6
2023-11-RBalancer, 18523440, 0x7122985656e38BDC0302Db86685bb972b145bD3C;0xA62F9C5af106FeEE069F38dE51098D9d81B90572;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
2023-11-TheNFTV2, 18647450, 0x79a7D3559D73EA032120A69E59223d4375DEb595;0xBB9bc244D798123fDe783fCc1C72d3Bb8C189413;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0xE1eCaDb5FEC254c2c893C230b935Db30b8FfF0db
2023-12-FloorProtocol, 18802287, 0xBd3531dA5CF5857e7CfAA92426877b022e612cf8;0x49AD262C49C7aA708Cc2DF262eD53B64A17Dd5EE;0xe5442aE87E0fEf3F7cc43E507adF786c311a0529
2023-12-HYPR, 18774584, 0x31aDdA225642a8f4D7e90d4152BE6661ab22a5a2;0x40C31236B228935b0329eFF066B1AD96e319595e;0xD7a421A6786cF4951a8FaE10385680222D63f89a
2023-12-TIME, 18730462, 0x4b0E9a7dA8bAb813EfAE92A6651019B8bd6c0a29;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0x760dc1E043D99394A10605B2FA08F123D60faF84;0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D;0xc82BbE41f2cF04e3a8efA18F7032BDD7f6d98a81;0xa16A5F37774309710711a8B4E83b068306b21724
2024-01-BarleyFinance, 19106654, 0x6B175474E89094C44Da98b954EedeAC495271d0F;0x3e2324342bF5B8A1Dca42915f0489497203d640E;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0x04c80Bb477890F3021F03B068238836Ee20aA0b8;0xE592427A0AEce92De3Edee1F18E0157C05861564
2024-01-Bmizapper, 19029290, 0x4622aFF8E521A444C9301dA0efD05f6b482221b8;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;0x4Fabb145d64652a948d72533023f6E7A623C7C53;0x07d7685bECB1a72a1Cf614b4067419334C9f1b4d
2024-01-LQDX_alert, 19165893, 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0x872952d3c1Caf944852c5ADDa65633F1Ef218A26;0x364f17A23AE4350319b7491224d10dF5796190bC;0x1884C3D0ac1A3ACF0698b2a19866cee4cE27c31A
2024-01-OrbitChain, 18908049, 0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599;0x1Bf68A9d1EaEe7826b3593C20a0ca93293cb489a;0xB5680a55d627c52DE992e3EA52a86f19DA475399;0x9263e7873613DDc598a701709875634819176AfF;0x9ca536d01B9E78dD30de9d7457867F8898634049
2024-01-PeapodsFinance, 19109652, 0x6B175474E89094C44Da98b954EedeAC495271d0F;0xdbB20A979a92ccCcE15229e41c9B082D5b5d7E31;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0x02f92800F57BCD74066F5709F1Daa1A4302Df875;0xE592427A0AEce92De3Edee1F18E0157C05861564
2024-01-SocketGateway, 19021453, 0x3a23F943181408EAC424116Af7b7790c94Cb97a5;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;0x7d03149A2843E4200f07e858d6c0216806Ca4242
2024-01-WiseLending02, 18983652, 0x37e49bf3749513A02FA535F0CbC383796E8107E4;0x32E0A7F7C4b1A19594d25bD9b63EBA912b1a5f61;0xB40b073d7E47986D3A45Ca7Fd30772C25A2AD57f;0xC374f7eC85F8C7DE3207a10bB1978bA104bdA3B2;0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0;0x9aB8A49677a20fc0cC694479DF4462a82B4Cc1C4;0x829c3AE2e82760eCEaD0F384918a650F8a31Ba18
2024-02-AffineDeFi, 19132934, 0x0B925eD163218f6662a35e0f0371Ac234f9E9371;0xBA12222222228d8Ba445958a75a0704d566BF2C8;0xcd6ca2f0d0c182C5049D9A1F65cDe51A706ae142;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
2024-02-DeezNutz404, 19277802, 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0xb57E874082417b66877429481473CF9FCd8e0b8a;0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D;0x1fB4904b26DE8C043959201A63b4b23C414251E2
2024-02-dn404,19196685,0x2c7112245Fc4af701EBf90399264a7e89205Dad4;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0x83Cb9449b7077947a13Bf32025A8eAA3Fb1D8A5e
2024-02-EGGX, 19252567, 0x26beBB6995a4736F088D129E82620eBA899B944F;0xe2f95ee8B72fFed59bC4D2F35b1d19b909A6e6b3;0xFb35DE57B117FA770761C1A344784075745F84F9;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
2024-02-GAIN, 19277620, 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0xdE59b88abEFA5e6C8aA6D742EeE0f887Dab136ac;0xc7bBeC68d12a0d1830360F8Ec58fA599bA1b0e9b;0x31d80EA33271891986D873B397d849A92EF49255
2024-02-Game, 19213946, 0x52d69c67536f55EfEfe02941868e5e762538dBD6
2024-02-Miner, 19226508, 0x732276168b421D4792E743711E1A48172EA574a2;0xE77EC1bF3A5C95bFe3be7BDbACfe3ac1c7E454CD;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
2024-02-pandora,19184577,0xddaDF1bf44363D07E750C20219C2347Ed7D826b9;0x89CB997C36776D910Cfba8948Ce38613636CBc3c;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
2024-02-ParticleTrade, 19231445, 0x7c5C9AfEcf4013c43217Fb6A626A4687381f080D;0xB6a37b5d14D502c3Ab0Ae6f3a0E058BC9517786e;0xC2c862322E9c97D6244a3506655DA95F05246Fd8;0xE4764f9cd8ECc9659d3abf35259638B20ac536E4
2024-02-RuggedArt, 19262233, 0x99147452078fa5C6642D3E5F7efD51113A9527a5;0x2648f5592c09a260C601ACde44e7f8f2944944Fb;0xbE33F57f41a20b2f00DEc91DcC1169597f36221F;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
2024-02-Seneca, 19325936, 0x65c210c59B43EB68112b7a4f75C8393C36491F06;0xB05cABCd99cf9a73b19805edefC5f67CA5d1895E;0x9CBF099ff424979439dFBa03F00B5961784c06ce
2024-02-swarmmarkets,19286456,0xD08E245Fdb3f1504aea4056e2C71615DA7001440;0x2b9dc65253c035Eb21778cB3898eab5A0AdA0cCe
2024-02-Zoomer, 19291249, 0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D;0x0D505C03d30e65f6e9b4Ef88855a47a89e4b7676;0x9700204D77A67A18eA8F1B47275897b21e5eFA97;0x55d398326f99059fF775485246999027B3197955;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
2024-03-juice,19395635,0x8584DdbD1E28bCA4bc6Fb96baFe39f850301940e;0xdE5d2530A877871F6f0fc240b9fCE117246DaDae
